State_Pair,State1,State2,Total_Passengers
Arizona-Arkansas,Arizona,Arkansas,34440
New Hampshire-North Carolina,New Hampshire,North Carolina,34320
Michigan-Rhode Island,Michigan,Rhode Island,34280
California-New Hampshire,California,New Hampshire,33930
Oklahoma-Tennessee,Oklahoma,Tennessee,33890
Florida-Idaho,Florida,Idaho,33590
Alabama-Arizona,Alabama,Arizona,33530
District of Columbia-Oklahoma,District of Columbia,Oklahoma,33370
Minnesota-Oklahoma,Minnesota,Oklahoma,33210
Maine-Texas,Maine,Texas,33130
District of Columbia-Iowa,District of Columbia,Iowa,33010
Ohio-Oklahoma,Ohio,Oklahoma,32920
Connecticut-Tennessee,Connecticut,Tennessee,32540
North Carolina-West Virginia,North Carolina,West Virginia,32410
Indiana-Louisiana,Indiana,Louisiana,32360
Nevada-Wyoming,Nevada,Wyoming,32360
Alaska-Georgia,Alaska,Georgia,32290
Indiana-Utah,Indiana,Utah,32130
Minnesota-South Carolina,Minnesota,South Carolina,31960
Alaska-Utah,Alaska,Utah,31950
Maine-Michigan,Maine,Michigan,31860
District of Columbia-Vermont,District of Columbia,Vermont,31600
Texas-Wyoming,Texas,Wyoming,31410
California-Vermont,California,Vermont,31300
District of Columbia-New Mexico,District of Columbia,New Mexico,30860
District of Columbia-New Hampshire,District of Columbia,New Hampshire,30530
New Jersey-Vermont,New Jersey,Vermont,30490
Nebraska-Oregon,Nebraska,Oregon,30260
Louisiana-South Carolina,Louisiana,South Carolina,30200
Indiana-Oregon,Indiana,Oregon,30180
Kentucky-Wisconsin,Kentucky,Wisconsin,30050
Utah-Wisconsin,Utah,Wisconsin,29570
Connecticut-South Carolina,Connecticut,South Carolina,29550
South Carolina-West Virginia,South Carolina,West Virginia,29350
Louisiana-Wisconsin,Louisiana,Wisconsin,28950
Iowa-Missouri,Iowa,Missouri,28750
Connecticut-Missouri,Connecticut,Missouri,28420
Alabama-Missouri,Alabama,Missouri,28280
Alaska-New York,Alaska,New York,28050
Georgia-Montana,Georgia,Montana,27620
New Jersey-Oklahoma,New Jersey,Oklahoma,27360
Georgia-West Virginia,Georgia,West Virginia,27040
Georgia-New Hampshire,Georgia,New Hampshire,26920
Montana-New York,Montana,New York,26540
Kansas-Missouri,Kansas,Missouri,26450
