"State_Pair","State1","State2","Country1","Country2","Total_Passengers","Number_of_Routes"
"Alberta-Guerrero","Alberta","Guerrero","Canada","Mexico",29167,3
"Minnesota-Sinaloa","Minnesota","Sinaloa","United States","Mexico",28620,2
"Oaxaca-Texas","Oaxaca","Texas","Mexico","United States",27839,4
"Tamaulipas-Texas","Tamaulipas","Texas","Mexico","United States",26870,5
"Guanajuato-Jalisco","Guanajuato","Jalisco","Mexico","Mexico",26716,5
"Durango-Illinois","Durango","Illinois","Mexico","United States",26092,2
"Jalisco-Michigan","Jalisco","Michigan","Mexico","United States",25049,6
"Alberta-Oaxaca","Alberta","Oaxaca","Canada","Mexico",25020,2
"Durango-Nuevo León","Durango","Nuevo León","Mexico","Mexico",24943,2
"Chihuahua-Quintana Roo","Chihuahua","Quintana Roo","Mexico","Mexico",24503,8
"Jalisco-Querétaro","Jalisco","Querétaro","Mexico","Mexico",24342,8
"Quintana Roo-Tennessee","Quintana Roo","Tennessee","Mexico","United States",23772,6
"Sinaloa-Texas","Sinaloa","Texas","Mexico","United States",23690,2
"Baja California-Coahuila","Baja California","Coahuila","Mexico","Mexico",23409,2
"Baja California-Veracruz","Baja California","Veracruz","Mexico","Mexico",22443,2
"California-Sonora","California","Sonora","United States","Mexico",22437,4
"Jalisco-Oaxaca","Jalisco","Oaxaca","Mexico","Mexico",22342,5
"Campeche-Veracruz","Campeche","Veracruz","Mexico","Mexico",21709,5
"Durango-Jalisco","Durango","Jalisco","Mexico","Mexico",21467,5
"Tabasco-Texas","Tabasco","Texas","Mexico","United States",21293,2
"Veracruz-Yucatán","Veracruz","Yucatán","Mexico","Mexico",20885,2
"Baja California-Quintana Roo","Baja California","Quintana Roo","Mexico","Mexico",20829,2
"Guerrero-Minnesota","Guerrero","Minnesota","Mexico","United States",20647,2
"New Brunswick-Quintana Roo","New Brunswick","Quintana Roo","Canada","Mexico",20098,8
"Nayarit-State of Mexico","Nayarit","State of Mexico","Mexico","Mexico",19478,4
"Baja California-California","Baja California","California","Mexico","United States",18910,5
"Jalisco-Puebla","Jalisco","Puebla","Mexico","Mexico",18846,5
"Aguascalientes-Nuevo León","Aguascalientes","Nuevo León","Mexico","Mexico",18803,2
"Chiapas-Yucatán","Chiapas","Yucatán","Mexico","Mexico",18075,2
"Alberta-Colima","Alberta","Colima","Canada","Mexico",16091,4
"Indiana-Quintana Roo","Indiana","Quintana Roo","United States","Mexico",15807,4
"British Columbia-Sinaloa","British Columbia","Sinaloa","Canada","Mexico",15338,2
"Louisiana-Quintana Roo","Louisiana","Quintana Roo","United States","Mexico",14889,5
"Baja California-San Luis Potosí","Baja California","San Luis Potosí","Mexico","Mexico",14364,2
"Guerrero-Ontario","Guerrero","Ontario","Mexico","Canada",14158,4
"Chihuahua-Colorado","Chihuahua","Colorado","Mexico","United States",13949,2
"Aguascalientes-Jalisco","Aguascalientes","Jalisco","Mexico","Mexico",13678,4
"Campeche-Tamaulipas","Campeche","Tamaulipas","Mexico","Mexico",13532,2
"Florida-Nuevo León","Florida","Nuevo León","United States","Mexico",13277,5
"Colima-State of Mexico","Colima","State of Mexico","Mexico","Mexico",12580,2
"Arizona-Guerrero","Arizona","Guerrero","United States","Mexico",12343,2
"Guerrero-Quebec","Guerrero","Quebec","Mexico","Canada",12248,6
"Morelos-Nuevo León","Morelos","Nuevo León","Mexico","Mexico",11893,2
"Chiapas-State of Mexico","Chiapas","State of Mexico","Mexico","Mexico",11594,6
"Texas-Zacatecas","Texas","Zacatecas","United States","Mexico",11547,4
"British Columbia-Oaxaca","British Columbia","Oaxaca","Canada","Mexico",10925,5
"Jalisco-Morelos","Jalisco","Morelos","Mexico","Mexico",10772,2
"California-Durango","California","Durango","United States","Mexico",10494,2
"Campeche-Texas","Campeche","Texas","Mexico","United States",10456,6
"Michigan-Nuevo León","Michigan","Nuevo León","United States","Mexico",9918,5
"Oaxaca-State of Mexico","Oaxaca","State of Mexico","Mexico","Mexico",9420,6
"Connecticut-Quintana Roo","Connecticut","Quintana Roo","United States","Mexico",9039,2
"Oaxaca-Saskatchewan","Oaxaca","Saskatchewan","Mexico","Canada",8978,6
"Alberta-Baja California Sur","Alberta","Baja California Sur","Canada","Mexico",8426,2
"State of Mexico-Veracruz","State of Mexico","Veracruz","Mexico","Mexico",7759,5
"Ontario-Sinaloa","Ontario","Sinaloa","Canada","Mexico",7718,2
"Guerrero-Jalisco","Guerrero","Jalisco","Mexico","Mexico",7660,6
"Guerrero-Saskatchewan","Guerrero","Saskatchewan","Mexico","Canada",7647,7
"Jalisco-Wisconsin","Jalisco","Wisconsin","Mexico","United States",7613,2
"Jalisco-San Luis Potosí","Jalisco","San Luis Potosí","Mexico","Mexico",7557,7
"Guerrero-Illinois","Guerrero","Illinois","Mexico","United States",7263,4
"Guerrero-Querétaro","Guerrero","Querétaro","Mexico","Mexico",7213,4
