"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Colima-Minnesota","Colima","Minnesota","Mexico","United States",8036
"Florida-New York","Florida","New York","United States","United States",6150390
"California-Texas","California","Texas","United States","United States",5006640
"California-Nevada","California","Nevada","United States","United States",4150910
"California-Washington","California","Washington","United States","United States",3736450
"California-New York","California","New York","United States","United States",3237100
"Florida-Texas","Florida","Texas","United States","United States",3139880
"California-Illinois","California","Illinois","United States","United States",3083380
"Florida-Illinois","Florida","Illinois","United States","United States",3042840
"Florida-Georgia","Florida","Georgia","United States","United States",2984170
"Arizona-California","Arizona","California","United States","United States",2980650
"California-Colorado","California","Colorado","United States","United States",2808550
"Florida-Pennsylvania","Florida","Pennsylvania","United States","United States",2778940
"California-Florida","California","Florida","United States","United States",2607230
"California-Oregon","California","Oregon","United States","United States",2248540
"Florida-New Jersey","Florida","New Jersey","United States","United States",2222280
"Florida-North Carolina","Florida","North Carolina","United States","United States",1962450
"Illinois-New York","Illinois","New York","United States","United States",1875970
"Illinois-Texas","Illinois","Texas","United States","United States",1764390
"Colorado-Texas","Colorado","Texas","United States","United States",1757430
"Florida-Ohio","Florida","Ohio","United States","United States",1622660
"Florida-Massachusetts","Florida","Massachusetts","United States","United States",1556640
"New York-Texas","New York","Texas","United States","United States",1552280
"California-New Jersey","California","New Jersey","United States","United States",1529250
"Nevada-Texas","Nevada","Texas","United States","United States",1509900
"California-Massachusetts","California","Massachusetts","United States","United States",1487420
"Georgia-Texas","Georgia","Texas","United States","United States",1483470
"Florida-Michigan","Florida","Michigan","United States","United States",1477360
"Florida-Maryland","Florida","Maryland","United States","United States",1384200
"California-Georgia","California","Georgia","United States","United States",1322070
"California-Utah","California","Utah","United States","United States",1280370
"District of Columbia-Florida","District of Columbia","Florida","United States","United States",1235320
"Florida-Tennessee","Florida","Tennessee","United States","United States",1219950
"Arizona-Texas","Arizona","Texas","United States","United States",1215830
"Georgia-New York","Georgia","New York","United States","United States",1204600
"California-Virginia","California","Virginia","United States","United States",1151110
"Colorado-Florida","Colorado","Florida","United States","United States",1149620
"New York-North Carolina","New York","North Carolina","United States","United States",1123720
"Florida-Kentucky","Florida","Kentucky","United States","United States",1105880
"Florida-Indiana","Florida","Indiana","United States","United States",1055150
"Florida-Missouri","Florida","Missouri","United States","United States",1031080
"California-Pennsylvania","California","Pennsylvania","United States","United States",990030
"Missouri-Texas","Missouri","Texas","United States","United States",961310
"California-Missouri","California","Missouri","United States","United States",934820
"Louisiana-Texas","Louisiana","Texas","United States","United States",926430
"North Carolina-Texas","North Carolina","Texas","United States","United States",901310
"Arizona-Illinois","Arizona","Illinois","United States","United States",891860
"Illinois-Nevada","Illinois","Nevada","United States","United States",891010
"Florida-Virginia","Florida","Virginia","United States","United States",874510
"Colorado-Illinois","Colorado","Illinois","United States","United States",869800
"California-Minnesota","California","Minnesota","United States","United States",867350
"Illinois-Pennsylvania","Illinois","Pennsylvania","United States","United States",865500
"Georgia-Illinois","Georgia","Illinois","United States","United States",861540
