"Aguascalientes","Alabama","Alaska","Alberta","Arizona","Arkansas","Baja California","Baja California Sur","British Columbia","California","Campeche","Chiapas","Chihuahua","Coahuila de Zaragoza","Colima","Colorado","Connecticut","Delaware","District of Columbia","Distrito Federal","Durango","Estado de Mexico","Florida","Georgia","Guanajuato","Guerrero","Hawaii","Hidalgo","Idaho","Illinois","Indiana","Iowa","Jalisco","Kansas","Kentucky","Louisiana","Maine","Manitoba","Maryland","Massachusetts","Michigan","Michoacan de Ocampo","Minnesota","Mississippi","Missouri","Montana","Morelos","Nayarit","Nebraska","Nevada","New Brunswick","New Hampshire","New Jersey","New Mexico","New York","Newfoundland and Labrador","North Carolina","North Dakota","Northwest Territories","Nova Scotia","Nuevo Leon","Nunavut","Oaxaca","Ohio","Oklahoma","Ontario","Oregon","Pennsylvania","Prince Edward Island","Puebla","Quebec","Queretaro","Quintana Roo","Rhode Island","San Luis Potosi","Saskatchewan","Sinaloa","Sonora","South Carolina","South Dakota","Tabasco","Tamaulipas","Tennessee","Texas","Tlaxcala","Utah","Veracruz de Ignacio de la Llave","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Yucatan","Yukon","Zacatecas"
0,13432,9,0,121,2113,0,0,0,232,0,0,0,0,0,73,0,19,0,0,0,0,984,916,0,0,0,0,3,189,111,25,0,42,156,9453,16,0,34,43,171,0,25,2862827,246,8,0,0,29,66,0,12,33,7,106,0,153,3,0,0,0,0,0,199,176,0,0,83,0,0,0,0,0,11,0,0,0,0,91,4,0,0,18217,888,0,58,0,7,112,142,24,63,14,0,0,0
0,300,0,0,380,5752,0,0,0,1002,0,0,0,0,0,624,184,7,20,0,0,0,1506,510,0,0,57,0,50,83063,734,1392,0,89681,505,251,50,0,362,179,714,0,336,320,5996953,38,0,0,664,171,0,48,218,123,333,0,275,22,0,0,0,0,0,550,2856,0,89,503,0,0,0,0,0,21,0,0,0,0,215,65,0,0,732,1855,0,41,0,58,326,206,67,229,47,0,0,0
0,51,1,10,200,63,0,0,13,353,0,0,0,0,0,197,17,0,0,0,0,0,0,27,0,0,0,0,942,104,0,29,0,27,24,150,3,0,6,46,89,0,115,20,241,1075566,0,0,43,161,0,29,38,58,41,0,105,529,0,0,0,0,0,17,36,0,151,105,0,0,0,0,0,29,0,6,0,0,8,160,0,0,20,230,0,291,0,0,5,333,3,76,837,0,0,0
30,0,0,0,0,0,0,0,0,0,20,50,0,40,0,0,0,0,0,2270,10,13060,0,0,90,7910,0,700,0,0,0,0,80,0,0,0,0,0,0,0,0,210,0,0,0,0,1925830,20,0,0,0,0,0,0,0,0,0,0,0,0,40,0,420,0,0,0,0,0,0,9670,0,110,20,0,0,0,0,0,0,0,0,10,0,0,2390,0,830,0,0,0,0,0,0,40,0,30
40,0,0,0,0,0,50,20,0,0,10,80,20,40,60,0,0,0,0,40,250,230,0,0,590,840,0,90,0,0,0,0,8720,0,0,0,0,0,0,0,0,450,0,0,0,0,30,1218046,0,0,0,0,0,0,0,0,0,0,0,0,50,0,120,0,0,0,0,0,0,130,0,30,10,0,30,0,560,30,0,0,10,30,0,0,110,0,130,0,0,0,0,0,0,10,0,390
0,29,38,0,336,226,0,0,0,638,0,0,0,0,0,1490,6,12,7,0,0,0,565,262,0,0,0,0,66,722,135,31345,0,1601,58,46,28,0,55,46,157,0,399,59,1324,36,0,0,1934952,151,0,34,61,42,172,0,272,27,0,0,0,0,0,372,293,0,141,75,0,0,0,0,0,94,0,0,0,0,126,1630,0,0,262,864,0,81,0,0,92,104,15,118,753,0,0,0
0,48,50,0,9210,26,0,0,0,11641,0,0,0,0,0,308,114,13,0,0,0,0,430,335,0,0,97,0,1099,263,37,30,0,61,50,114,0,0,73,142,128,0,117,31,142,137,0,0,68,3079822,0,40,213,214,206,0,132,12,0,0,0,0,0,155,80,0,233,141,0,0,0,0,0,10,0,0,0,0,83,9,0,0,95,408,0,2407,0,0,85,556,11,108,51,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,777006,0,0,0,0,80,0,0,0,2720,0,0,0,0,0,100,0,0,180,0,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,11,0,40,0,0,0,0,61,0,0,0,0,0,29,460,0,58,0,0,0,521,16,0,0,5,0,3,73,0,0,0,0,0,0,17188,0,23,33501,32,0,13,16,32,0,0,0,0,30,0,1271135,105,36,402,0,81,0,0,0,0,0,0,19,13,0,11,146,0,0,3,0,0,135,0,0,0,0,9,0,0,0,9,86,0,13,0,14035,83,21,19,29,0,0,0,0
0,195,58,0,617,67,0,0,0,1352,0,0,0,0,0,569,3196,6236,176,0,0,0,3458,838,0,0,21,0,58,705,384,28,0,78,244,253,255,0,1896,1402,498,0,195,68,455,75,0,0,58,6,0,379,8718144,36,127032,0,1290,0,0,0,0,0,0,1150,115,0,160,124808,0,0,0,0,0,270,0,0,0,0,666,31,0,0,373,1446,0,117,0,193,1459,312,143,185,40,0,0,0
